,Maze,Metric,Alternative,P Value,Null Hypothesis
75,MazeB-v0,mean_reliable_classifier_specificity_list,two-sided,5.966181106150193e-150,Reject
76,MazeB-v0,mean_reliable_classifier_specificity_list,larger,2.9830905530750965e-150,Reject
77,MazeB-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
78,MazeB-v0,full_knowledge_first_trial_list,two-sided,5.960050814142307e-21,Reject
79,MazeB-v0,full_knowledge_first_trial_list,larger,2.9800254070711536e-21,Reject
80,MazeB-v0,full_knowledge_first_trial_list,smaller,1.0,Accept
81,MazeB-v0,full_knowledge_stable_trial_list,two-sided,2.054559319853887e-15,Reject
82,MazeB-v0,full_knowledge_stable_trial_list,larger,1.0272796599269435e-15,Reject
83,MazeB-v0,full_knowledge_stable_trial_list,smaller,0.999999999999999,Accept
84,MazeD-v0,knowledge_list,two-sided,,Accept
85,MazeD-v0,knowledge_list,larger,,Accept
86,MazeD-v0,knowledge_list,smaller,,Accept
87,MazeD-v0,population_list,two-sided,4.612807275605641e-99,Reject
88,MazeD-v0,population_list,larger,1.0,Accept
89,MazeD-v0,population_list,smaller,2.3064036378028206e-99,Reject
90,MazeD-v0,reliable_list,two-sided,0.12323252352716609,Accept
91,MazeD-v0,reliable_list,larger,0.06161626176358304,Accept
92,MazeD-v0,reliable_list,smaller,0.938383738236417,Accept
93,MazeD-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
94,MazeD-v0,pees_matching_non_aliased_states_list,larger,,Accept
95,MazeD-v0,pees_matching_non_aliased_states_list,smaller,,Accept
96,MazeD-v0,mean_reliable_classifier_specificity_list,two-sided,2.2319288368476806e-91,Reject
97,MazeD-v0,mean_reliable_classifier_specificity_list,larger,1.1159644184238403e-91,Reject
98,MazeD-v0,mean_reliable_classifier_specificity_list,smaller,1.0,Accept
99,MazeD-v0,full_knowledge_first_trial_list,two-sided,1.6432304352508617e-06,Reject
100,MazeD-v0,full_knowledge_first_trial_list,larger,8.216152176254308e-07,Reject
101,MazeD-v0,full_knowledge_first_trial_list,smaller,0.9999991783847824,Accept
102,MazeD-v0,full_knowledge_stable_trial_list,two-sided,2.3875617635388483e-05,Reject
103,MazeD-v0,full_knowledge_stable_trial_list,larger,1.1937808817694241e-05,Reject
104,MazeD-v0,full_knowledge_stable_trial_list,smaller,0.9999880621911823,Accept
105,MazeF4-v0,knowledge_list,two-sided,,Accept
106,MazeF4-v0,knowledge_list,larger,,Accept
107,MazeF4-v0,knowledge_list,smaller,,Accept
108,MazeF4-v0,population_list,two-sided,1.5557829910897008e-64,Reject
109,MazeF4-v0,population_list,larger,7.778914955448504e-65,Reject
110,MazeF4-v0,population_list,smaller,1.0,Accept
