,Maze,Metric,Alternative,P Value,Null Hypothesis
75,MazeB-v0,mean_reliable_classifier_specificity_list,two-sided,0.008897193483594253,Reject
76,MazeB-v0,mean_reliable_classifier_specificity_list,larger,0.9955514032582029,Accept
77,MazeB-v0,mean_reliable_classifier_specificity_list,smaller,0.004448596741797126,Reject
78,MazeB-v0,full_knowledge_first_trial_list,two-sided,6.139278638709555e-174,Reject
79,MazeB-v0,full_knowledge_first_trial_list,larger,1.0,Accept
80,MazeB-v0,full_knowledge_first_trial_list,smaller,3.0696393193547774e-174,Reject
81,MazeB-v0,full_knowledge_stable_trial_list,two-sided,6.139278638709555e-174,Reject
82,MazeB-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
83,MazeB-v0,full_knowledge_stable_trial_list,smaller,3.0696393193547774e-174,Reject
84,MazeD-v0,knowledge_list,two-sided,0.0,Reject
85,MazeD-v0,knowledge_list,larger,1.0,Accept
86,MazeD-v0,knowledge_list,smaller,0.0,Reject
87,MazeD-v0,population_list,two-sided,0.5674524040294171,Accept
88,MazeD-v0,population_list,larger,0.7162737979852914,Accept
89,MazeD-v0,population_list,smaller,0.28372620201470855,Accept
90,MazeD-v0,reliable_list,two-sided,0.8310909589830972,Accept
91,MazeD-v0,reliable_list,larger,0.5844545205084515,Accept
92,MazeD-v0,reliable_list,smaller,0.4155454794915486,Accept
93,MazeD-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
94,MazeD-v0,pees_matching_non_aliased_states_list,larger,,Accept
95,MazeD-v0,pees_matching_non_aliased_states_list,smaller,,Accept
96,MazeD-v0,mean_reliable_classifier_specificity_list,two-sided,0.03495277911785778,Accept
97,MazeD-v0,mean_reliable_classifier_specificity_list,larger,0.9825236104410711,Accept
98,MazeD-v0,mean_reliable_classifier_specificity_list,smaller,0.01747638955892889,Accept
99,MazeD-v0,full_knowledge_first_trial_list,two-sided,3.7534764094163797e-124,Reject
100,MazeD-v0,full_knowledge_first_trial_list,larger,1.0,Accept
101,MazeD-v0,full_knowledge_first_trial_list,smaller,1.8767382047081899e-124,Reject
102,MazeD-v0,full_knowledge_stable_trial_list,two-sided,3.7534764094163797e-124,Reject
103,MazeD-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
104,MazeD-v0,full_knowledge_stable_trial_list,smaller,1.8767382047081899e-124,Reject
105,MazeF4-v0,knowledge_list,two-sided,2.333883625886266e-108,Reject
106,MazeF4-v0,knowledge_list,larger,1.0,Accept
107,MazeF4-v0,knowledge_list,smaller,1.166941812943133e-108,Reject
108,MazeF4-v0,population_list,two-sided,0.007394077384862739,Reject
109,MazeF4-v0,population_list,larger,0.0036970386924313693,Reject
110,MazeF4-v0,population_list,smaller,0.9963029613075687,Accept
111,MazeF4-v0,reliable_list,two-sided,0.5125891205406289,Accept
112,MazeF4-v0,reliable_list,larger,0.7437054397296856,Accept
113,MazeF4-v0,reliable_list,smaller,0.25629456027031444,Accept
114,MazeF4-v0,pees_matching_non_aliased_states_list,two-sided,,Accept
115,MazeF4-v0,pees_matching_non_aliased_states_list,larger,,Accept
116,MazeF4-v0,pees_matching_non_aliased_states_list,smaller,,Accept
117,MazeF4-v0,mean_reliable_classifier_specificity_list,two-sided,0.12419746552112104,Accept
118,MazeF4-v0,mean_reliable_classifier_specificity_list,larger,0.9379012672394395,Accept
119,MazeF4-v0,mean_reliable_classifier_specificity_list,smaller,0.06209873276056052,Accept
120,MazeF4-v0,full_knowledge_first_trial_list,two-sided,1.6759361012349174e-180,Reject
121,MazeF4-v0,full_knowledge_first_trial_list,larger,1.0,Accept
122,MazeF4-v0,full_knowledge_first_trial_list,smaller,8.379680506174587e-181,Reject
123,MazeF4-v0,full_knowledge_stable_trial_list,two-sided,1.6759361012349174e-180,Reject
124,MazeF4-v0,full_knowledge_stable_trial_list,larger,1.0,Accept
