,Maze,Metric,ALCS,Alternative,Degrees of freedom,P Value,Null Hypothesis
50,MazeE2-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,56.30304421893299,0.020201102216904288,Reject
51,MazeE2-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.47856852774884,0.5316210794910238,Accept
52,MazeF1-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
53,MazeF1-v0,population_list,BEACS-debiased-BEACS,two-sided,56.13297092892855,0.019923900210955487,Reject
54,MazeF1-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
55,MazeF1-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.520878836375026,0.7880064658136974,Accept
56,MazeF2-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
57,MazeF2-v0,population_list,BEACS-debiased-BEACS,two-sided,57.84222759637282,0.04687474705407835,Reject
58,MazeF2-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
59,MazeF2-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,50.98925807323378,0.16342797870717,Accept
60,MiyazakiA-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,29.0,0.32558198801639804,Accept
61,MiyazakiA-v0,population_list,BEACS-debiased-BEACS,two-sided,56.78714280444347,0.09022655489255048,Accept
62,MiyazakiA-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.88147313524737,0.09544271429592247,Accept
63,MiyazakiA-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.93641404626827,0.6185921430267167,Accept
64,MiyazakiB-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
65,MiyazakiB-v0,population_list,BEACS-debiased-BEACS,two-sided,55.69911331994141,0.0074703820166261165,Reject
66,MiyazakiB-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,51.50288570478452,0.08115335895359574,Accept
67,MiyazakiB-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,53.523169047585576,0.990111659447205,Accept
68,MazeF3-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
69,MazeF3-v0,population_list,BEACS-debiased-BEACS,two-sided,56.698384201077204,0.4327087908461923,Accept
70,MazeF3-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
71,MazeF3-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.84087637369021,0.21059434149922507,Accept
72,Woods14-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
73,Woods14-v0,population_list,BEACS-debiased-BEACS,two-sided,54.584737808477506,0.011129004320767593,Reject
74,Woods14-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,,,Accept
75,Woods14-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,36.22513477545532,0.31321439130861184,Accept
76,Woods100-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
77,Woods100-v0,population_list,BEACS-debiased-BEACS,two-sided,56.358987024351805,0.34287574231289053,Accept
78,Woods100-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,56.9481796196769,0.5591485574800996,Accept
79,Woods100-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.986813307799274,0.6272207740031254,Accept
80,Woods101-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
81,Woods101-v0,population_list,BEACS-debiased-BEACS,two-sided,55.76262224636167,0.7924057141886613,Accept
82,Woods101-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,55.11380707508264,0.27526939076541557,Accept
83,Woods101-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,54.74801967435836,0.7626004426795446,Accept
84,Woods101demi-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
85,Woods101demi-v0,population_list,BEACS-debiased-BEACS,two-sided,51.17298941474216,0.9152406988156411,Accept
86,Woods101demi-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.61116083616232,0.30431409777580454,Accept
87,Woods101demi-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.838648904971166,0.9240018648758681,Accept
88,Woods102-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,29.0,0.32558198801621363,Accept
89,Woods102-v0,population_list,BEACS-debiased-BEACS,two-sided,57.99983322261969,0.31959722586815226,Accept
90,Woods102-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,56.268778030567084,0.5656005367824688,Accept
91,Woods102-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,56.174062277904625,0.4320129068117554,Accept
