,Maze,Metric,ALCS,Alternative,Degrees of freedom,P Value,Null Hypothesis
48,MazeE2-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,55.77618077888325,0.2547427259394919,Accept
49,MazeE2-v0,population_list,BEACS-debiased-BEACS,two-sided,56.07012984917609,9.815234600532105e-05,Reject
50,MazeE2-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,53.52317301397021,0.03645120007875667,Reject
51,MazeE2-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.99942794300082,0.8152182104961129,Accept
52,MazeF1-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
53,MazeF1-v0,population_list,BEACS-debiased-BEACS,two-sided,29.0,0.3255819880162205,Accept
54,MazeF1-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,56.35462646377941,0.5835570608014332,Accept
55,MazeF1-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.6380737068439,0.9118540926323742,Accept
56,MazeF2-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
57,MazeF2-v0,population_list,BEACS-debiased-BEACS,two-sided,52.684184058335426,0.5616437193482726,Accept
58,MazeF2-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,52.973750426744566,0.5104036099708684,Accept
59,MazeF2-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,55.181039267847375,0.5014781358628939,Accept
60,MiyazakiA-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,53.555520809155496,0.016005896157801416,Reject
61,MiyazakiA-v0,population_list,BEACS-debiased-BEACS,two-sided,57.07549059832489,0.30060371976294925,Accept
62,MiyazakiA-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.93130457177591,0.7536827232317352,Accept
63,MiyazakiA-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,56.269147231982586,0.04354497013790714,Reject
64,MiyazakiB-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,57.13874585214916,0.8985265723637885,Accept
65,MiyazakiB-v0,population_list,BEACS-debiased-BEACS,two-sided,57.86147094028367,0.7050853423056929,Accept
66,MiyazakiB-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.99996960952592,0.021053709929221148,Reject
67,MiyazakiB-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.00114069368723,0.9296237906135648,Accept
68,MazeF3-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
69,MazeF3-v0,population_list,BEACS-debiased-BEACS,two-sided,56.991005688422675,0.7208924502782785,Accept
70,MazeF3-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,39.57826863431312,0.6790762363049156,Accept
71,MazeF3-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,57.3271968753012,0.9912636101356699,Accept
72,Woods14-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
73,Woods14-v0,population_list,BEACS-debiased-BEACS,two-sided,41.09494387175956,2.951724923085659e-08,Reject
74,Woods14-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,57.99902254974564,4.4922323803496027e-07,Reject
75,Woods14-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,30.20738808332019,0.11084496502960187,Accept
76,Woods100-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
77,Woods100-v0,population_list,BEACS-debiased-BEACS,two-sided,53.566539303729215,0.33742562411062804,Accept
78,Woods100-v0,EP_Accumulated_Error,BEACS-debiased-BEACS,two-sided,54.89715763812843,0.6488972452221717,Accept
79,Woods100-v0,Average_steps_to_exit,BEACS-debiased-BEACS,two-sided,32.516590172378,0.4217623060580471,Accept
80,Woods101-v0,knowledge_list,BEACS-debiased-BEACS,two-sided,,,Accept
